Marca temporal;¿Cuál es su edad?;situación laboral;nivel de estudios;ingresos personales brutos anuales;Cuál su situación;ciudad o poblado;CCAA;dispuesto a contratar;capaz de realizar las tareas domésticas;veces ha buscado ayuda;entorno cercano;remunerado;
6/16/2022 10:00:34;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 10:00:51;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 10:02:08;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 10:03:15;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;No;>=7;Sí;Sí;
6/16/2022 10:07:48;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;No;
6/16/2022 10:09:47;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Comunidad Valenciana ;No;Sí;0;Sí;Sí;
6/16/2022 10:10:15;46-55;encargado/a del hogar;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 10:11:27;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/16/2022 10:11:49;18-25;Estudiante;Bachillerato;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;1;Sí;Sí;
6/16/2022 10:18:41;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 10:22:44;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;5;Sí;Sí;
6/16/2022 10:33:24;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 10:34:40;18-25;Empleado/a;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;1;Sí;No;
6/16/2022 10:45:44;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;2;Sí;No;
6/16/2022 10:49:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 10:50:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;1;Sí;Sí;
6/16/2022 10:57:20;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;4;Sí;Sí;
6/16/2022 11:00:02;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 11:13:12;26-35;Empleado/a;Máster;30.000€-40.000€;Vive solo/a;Ciudad;Andalucía ;Sí;No;4;No;No;
6/16/2022 11:15:03;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Melilla;No;Sí;0;Sí;No;
6/16/2022 11:20:59;18-25;Estudiante;FP básica;0€-1.000€;Vive acompañado/a;Poblado;Cataluña;No;Sí;0;No;Sí;
6/16/2022 11:26:31;18-25;Empleado/a;Máster;10.000€-20.000€;Vive acompañado/a;Ciudad;Cataluña;Sí;Sí;0;Sí;Sí;
6/16/2022 11:48:11;36-45;Empleado/a;EGB;10.000€-20.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 11:52:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 11:55:29;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 11:57:27;18-25;Desempleado/a de corta duración;ESO;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 11:57:33;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 11:57:47;18-25;Estudiante;ESO;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;0;Sí;Sí;
6/16/2022 12:05:31;36-45;Desempleado/a de corta duración;Grado Universitario u otro grado superior;20.000€-30.000€;Comparte alojamiento;Ciudad;País Vasco;No;Sí;0;Sí;Sí;
6/16/2022 12:05:33;18-25;Estudiante;FP básica;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;4;Sí;Sí;
6/16/2022 12:07:21;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;No;
6/16/2022 12:09:15;36-45;Desempleado de larga duración (2 años);Grado Universitario u otro grado superior;1.000€-10.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 12:19:50;18-25;Estudiante;Sin estudios;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;Sí;Sí;0;Sí;Sí;
6/16/2022 12:23:42;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 12:23:58;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;No;No;0;No;No;
6/16/2022 12:27:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;1;No;No;
6/16/2022 12:28:37;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Comunidad de Madrid ;Sí;Sí;0;Sí;Sí;
6/16/2022 12:42:54;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Comunidad Valenciana;No;Sí;5;Sí;Sí;
6/16/2022 12:45:41;18-25;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Cataluña;Sí;Sí;3;Sí;Sí;
6/16/2022 12:47:16;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;1;Sí;Sí;
6/16/2022 12:50:29;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;1;Sí;Sí;
6/16/2022 12:50:55;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 12:53:02;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;No;
6/16/2022 12:53:29;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 12:53:43;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 13:02:58;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;3;Sí;No;
6/16/2022 13:03:45;18-25;Estudiante;Bachillerato;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 13:05:07;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 13:05:48;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;1;Sí;Sí;
6/16/2022 13:06:17;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;4;Sí;Sí;
6/16/2022 13:06:42;18-25;Estudiante;Bachillerato;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;No;Sí;
6/16/2022 13:09:27;18-25;Estudiante;FP básica;0€-1.000€;Vive acompañado/a;Ciudad;Cataluña;No;Sí;6;Sí;Sí;
6/16/2022 13:10:21;46-55;Empleado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive acompañado/a;Poblado;Castilla-La Mancha;Sí;Sí;3;Sí;No;
6/16/2022 13:11:23;46-55;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Comparte alojamiento;Poblado;Castilla-La Mancha;Sí;Sí;3;Sí;Sí;
6/16/2022 13:13:26;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;La Hulpe;Sí;Sí;0;Sí;Sí;
6/16/2022 13:19:38;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/16/2022 13:25:41;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;0;Sí;No;
6/16/2022 13:34:25;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;No;0;No;No;
6/16/2022 13:35:05;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Castilla-La Mancha;Sí;No;0;No;Sí;
6/16/2022 13:36:48;18-25;Desempleado de larga duración (2 años);ESO;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 13:40:14;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 13:46:51;26-35;Estudiante;Grado Universitario u otro grado superior;10.000€-20.000€;Comparte alojamiento;Ciudad;Cataluña;No;Sí;0;Sí;No;
6/16/2022 13:54:11;26-35;Empleado/a;Bachillerato;1.000€-10.000€;Vive acompañado/a;Ciudad;País Vasco ;No;Sí;0;Sí;Sí;
6/16/2022 14:10:40;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;No;>=7;Sí;Sí;
6/16/2022 14:12:45;+65;Jubilado/a;Bachillerato;50.000€-60.000€;Vive solo/a;Ciudad;Castilla-La Mancha;No;Sí;0;Sí;No;
6/16/2022 14:25:46;26-35;Desempleado/a de corta duración;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Canarias;No;Sí;0;Sí;Sí;
6/16/2022 14:36:02;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 14:39:52;18-25;Desempleado/a de corta duración;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Ciudad;Canarias ;No;Sí;0;Sí;Sí;
6/16/2022 14:47:48;26-35;Empleado/a;Máster;1.000€-10.000€;Vive acompañado/a;Ciudad;Canarias;No;Sí;0;Sí;No;
6/16/2022 14:53:47;18-25;Empleado/a;ESO;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 14:54:08;18-25;Empleado/a;Máster;10.000€-20.000€;Vive acompañado/a;Poblado;Canarias;Sí;Sí;3;Sí;No;
6/16/2022 15:05:21;46-55;Empleado/a;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;No;
6/16/2022 15:09:40;56-65;Empleado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 15:18:00;26-35;Desempleado de larga duración (2 años);ESO;0€-1.000€;Vive acompañado/a;Ciudad;Comunidad Valenciana;No;Sí;0;Sí;Sí;
6/16/2022 15:24:15;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 15:29:02;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Canarias;Sí;No;>=7;Sí;Sí;
6/16/2022 15:34:53;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 15:42:54;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 15:46:10;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 15:54:12;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;No;No;
6/16/2022 15:55:20;26-35;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;2;Sí;Sí;
6/16/2022 15:58:59;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/16/2022 17:04:56;18-25;Estudiante;Bachillerato;1.000€-10.000€;Vive acompañado/a;Ciudad;Castilla y León;Sí;Sí;5;Sí;Sí;
6/16/2022 17:12:38;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;No;
6/16/2022 17:16:36;18-25;Empleado/a;Grado Universitario u otro grado superior;60.000€-100.000€;Comparte alojamiento;Ciudad;Comunidad de Madrid ;Sí;Sí;0;Sí;No;
