Marca temporal;¿Cuál es su edad?;situación laboral;nivel de estudios;ingresos personales brutos anuales;Cuál su situación;ciudad o poblado;CCAA;dispuesto a contratar;capaz de realizar las tareas domésticas;veces ha buscado ayuda;entorno cercano;remunerado;
6/16/2022 18:32:53;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/16/2022 22:21:15;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;3;Sí;Sí;
6/16/2022 22:22:48;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;No;0;Sí;Sí;
6/16/2022 22:22:54;36-45;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/16/2022 22:26:53;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;No;>=7;Sí;Sí;
6/16/2022 22:28:32;+65;Jubilado/a;Sin estudios;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;1;Sí;No;
6/16/2022 22:29:20;36-45;encargado/a del hogar;ESO;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;No;Sí;
6/16/2022 22:36:01;56-65;Jubilado/a;Bachillerato;10.000€-20.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/16/2022 22:44:07;18-25;Desempleado/a de corta duración;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;1;Sí;Sí;
6/16/2022 22:44:11;18-25;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/16/2022 22:47:18;18-25;Estudiante;Máster;1.000€-10.000€;Comparte alojamiento;Ciudad;Italia;No;Sí;0;No;Sí;
6/16/2022 23:42:19;36-45;Empleado/a;Bachillerato;40.000€-50.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;No;
6/17/2022 0:09:26;18-25;Empleado/a;Bachillerato;1.000€-10.000€;Vive acompañado/a;Ciudad;Comunidad Valenciana ;No;Sí;0;Sí;Sí;
6/17/2022 0:45:09;46-55;encargado/a del hogar;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/17/2022 7:51:18;46-55;Desempleado de larga duración (2 años);FP básica;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;No;Sí;
6/17/2022 8:32:49;56-65;Jubilado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/17/2022 9:03:54;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/17/2022 9:11:23;46-55;Empleado/a;Doctorado;40.000€-50.000€;Vive acompañado/a;Ciudad;Comunidad de Madrid ;No;Sí;0;No;No;
6/17/2022 13:03:11;18-25;Empleado/a;ESO;1.000€-10.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;5;Sí;No;
6/17/2022 14:29:44;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/17/2022 17:27:41;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;No;>=7;Sí;Sí;
6/17/2022 20:15:29;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;No;
6/17/2022 20:44:30;18-25;Estudiante;Máster;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;No;
6/17/2022 21:10:06;46-55;Desempleado de larga duración (2 años);Bachillerato;1.000€-10.000€;Vive acompañado/a;Poblado;Cataluña;No;Sí;0;Sí;No;
6/18/2022 13:23:49;56-65;Empleado/a;Máster;60.000€-100.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/21/2022 9:33:47;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/22/2022 20:24:39;18-25;Empleado/a;ESO;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 20:25:05;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Comunidad de Madrid ;No;Sí;0;Sí;Sí;
6/22/2022 20:25:14;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Comunidad de Madrid ;Sí;Sí;0;Sí;Sí;
6/22/2022 20:25:55;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;No;>=7;Sí;No;
6/22/2022 20:26:21;18-25;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 20:26:21;18-25;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 20:29:03;+65;Jubilado/a;EGB;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;No;No;
6/22/2022 20:34:41;18-25;Estudiante;Sin estudios;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;5;Sí;Sí;
6/22/2022 20:37:18;56-65;Empleado/a;EGB;1.000€-10.000€;Vive solo/a;Poblado;Andalucía;Sí;Sí;1;Sí;Sí;
6/22/2022 20:38:36;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 20:40:41;18-25;Empleado/a;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 20:41:43;18-25;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía;Sí;Sí;0;Sí;Sí;
6/22/2022 20:42:12;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;3;Sí;Sí;
6/22/2022 20:42:30;18-25;Estudiante;Bachillerato;0€-1.000€;Comparte alojamiento;Poblado;Andalucía;No;Sí;1;Sí;Sí;
6/22/2022 20:45:50;+65;encargado/a del hogar;Máster;50.000€-60.000€;Vive solo/a;Ciudad;Afganistán ;Sí;No;>=7;No;No;
6/22/2022 20:45:55;46-55;Desempleado de larga duración (2 años);Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/22/2022 20:46:02;18-25;Estudiante;ESO;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 20:46:10;18-25;Estudiante;ESO;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;2;Sí;Sí;
6/22/2022 20:48:30;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;No;No;
6/22/2022 20:49:52;26-35;Empleado/a;Máster;10.000€-20.000€;Comparte alojamiento;Ciudad;Andalucía ;Sí;Sí;2;Sí;Sí;
6/22/2022 20:49:52;18-25;Empleado/a;Máster;30.000€-40.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/22/2022 20:50:03;36-45;Desempleado/a de corta duración;Grado Universitario u otro grado superior;10.000€-20.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;No;No;
6/22/2022 20:50:47;26-35;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Comparte alojamiento;Ciudad;Andalucía ;No;Sí;0;Sí;No;
6/22/2022 20:59:26;36-45;Empleado/a;Grado Universitario u otro grado superior;40.000€-50.000€;Vive solo/a;Ciudad;Andalucía;Sí;Sí;2;Sí;No;
6/22/2022 21:02:41;18-25;Estudiante;ESO;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 21:05:25;36-45;Empleado/a;Sin estudios;20.000€-30.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;No;
6/22/2022 21:09:19;46-55;Empleado/a;Bachillerato;10.000€-20.000€;Vive solo/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/22/2022 21:09:19;26-35;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;No;
6/22/2022 21:09:42;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía ;No;Sí;0;Sí;Sí;
6/22/2022 21:10:30;18-25;Estudiante;ESO;0€-1.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/22/2022 21:10:34;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;2;Sí;Sí;
6/22/2022 21:10:41;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucia;No;Sí;0;Sí;Sí;
6/22/2022 21:11:26;18-25;Estudiante;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;No;0;Sí;No;
6/22/2022 21:11:49;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:14:38;46-55;Empleado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;No;Sí;
6/22/2022 21:18:11;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;Sí;Sí;
6/22/2022 21:22:42;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive solo/a;Poblado;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 21:22:54;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:23:13;18-25;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Comparte alojamiento;Poblado;Andalucía;No;Sí;2;Sí;No;
6/22/2022 21:26:36;26-35;Empleado/a;Máster;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;1;Sí;No;
6/22/2022 21:29:02;+65;Jubilado/a;Doctorado;+100.000€;Vive solo/a;Poblado;Andalucía;No;Sí;0;Sí;No;
6/22/2022 21:31:20;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:31:22;18-25;Desempleado/a de corta duración;Bachillerato;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;No;Sí;
6/22/2022 21:32:47;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Comparte alojamiento;Ciudad;Andalucía;Sí;Sí;0;Sí;No;
6/22/2022 21:33:41;26-35;Empleado/a;Máster;10.000€-20.000€;Comparte alojamiento;Ciudad;Aragón ;No;Sí;1;Sí;Sí;
6/22/2022 21:37:36;18-25;Empleado/a;Grado Universitario u otro grado superior;10.000€-20.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;Sí;No;
6/22/2022 21:38:13;18-25;Empleado/a;Grado Universitario u otro grado superior;30.000€-40.000€;Vive solo/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/22/2022 21:48:10;26-35;Empleado/a;Máster;40.000€-50.000€;Vive solo/a;Poblado;Andalucía ;Sí;Sí;0;Sí;Sí;
6/22/2022 21:48:20;26-35;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía;No;Sí;1;Sí;Sí;
6/22/2022 21:51:25;26-35;Desempleado/a de corta duración;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 21:53:49;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Poblado;Castilla y León ;No;Sí;2;No;No;
6/22/2022 21:59:20;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Poblado;Andalucía ;Sí;No;0;No;Sí;
6/22/2022 22:01:09;18-25;Estudiante;Grado Universitario u otro grado superior;1.000€-10.000€;Comparte alojamiento;Ciudad;Andalucía;No;Sí;0;Sí;Sí;
6/22/2022 22:01:22;26-35;Empleado/a;Máster;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;0;No;No;
6/22/2022 22:03:41;36-45;Empleado/a;Grado Universitario u otro grado superior;20.000€-30.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;0;No;Sí;
6/22/2022 22:06:01;26-35;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía;Sí;Sí;1;Sí;Sí;
6/22/2022 22:16:54;26-35;Desempleado/a de corta duración;Grado Universitario u otro grado superior;20.000€-30.000€;Vive solo/a;Poblado;Andalucía;Sí;Sí;0;Sí;Sí;
6/23/2022 0:08:07;18-25;Estudiante;Grado Universitario u otro grado superior;0€-1.000€;Vive acompañado/a;Ciudad;Andalucía;No;Sí;0;Sí;No;
6/23/2022 8:47:49;18-25;Empleado/a;Grado Universitario u otro grado superior;1.000€-10.000€;Vive acompañado/a;Ciudad;Andalucía ;No;Sí;2;Sí;Sí;
6/23/2022 15:37:31;18-25;Estudiante;Bachillerato;1.000€-10.000€;Vive acompañado/a;Poblado;Andalucía ;No;Sí;2;Sí;Sí;
